filename,num_bursts,mean_duration_s,prop_≥0.4s
P1.mp3,1,1.0,1.0
P10.mp3,1,0.8,1.0
P11.mp3,2,0.9825850340136055,1.0
P12.mp3,2,0.988390022675737,1.0
P13.mp3,18,0.27283446712018145,0.16666666666666666
P14.mp3,2,0.28444444444444444,0.5
P15.mp3,1,0.9767800453514739,1.0
P16.mp3,1,0.7767800453514739,1.0
P17.mp3,1,1.0,1.0
P18.mp3,1,1.0,1.0
P19.mp3,11,0.4882539682539683,0.45454545454545453
P2.mp3,1,1.838390022675737,1.0
P20.mp3,4,0.43324263038548755,0.5
P21.mp3,5,0.25820408163265307,0.2
P22.mp3,2,0.3941950113378685,0.5
P23.mp3,6,0.3860922146636432,0.5
P24.mp3,4,0.2976757369614512,0.25
P25.mp3,2,0.8709750566893424,1.0
P26.mp3,7,0.3433236151603499,0.42857142857142855
P27.mp3,7,0.30749595076125685,0.14285714285714285
P28.mp3,3,0.27915343915343915,0.3333333333333333
P29.mp3,6,0.21604686318972033,0.0
P3.mp3,1,0.8,1.0
P30.mp3,5,0.6521360544217687,0.6
P31.mp3,1,1.9,1.0
P32.mp3,1,2.500408163265306,1.0
P33.mp3,5,0.25774149659863943,0.2
P34.mp3,1,1.0,1.0
P35.mp3,1,1.188390022675737,1.0
P36.mp3,1,3.5,1.0
P37.mp3,9,0.5237389770723104,0.4444444444444444
P38.mp3,3,0.42182917611489046,0.3333333333333333
P39.mp3,4,1.1116553287981858,0.75
P4.mp3,1,1.3,1.0
P40.mp3,1,3.01859410430839,1.0
P41.mp3,1,1.3883900226757369,1.0
P42.mp3,3,0.309599395313681,0.3333333333333333
P43.mp3,1,1.5,1.0
P44.mp3,1,3.788390022675737,1.0
P45.mp3,1,3.175328798185941,1.0
P46.mp3,2,0.8707482993197279,1.0
P47.mp3,9,0.23864953388762913,0.1111111111111111
P48.mp3,4,0.8205102040816326,0.75
P49.mp3,7,0.9226886945254292,0.7142857142857143
P5.mp3,1,0.2,0.0
P50.mp3,2,3.0325850340136054,0.5
P51.mp3,7,0.20519598315516682,0.2857142857142857
P52.mp3,5,0.34674829931972795,0.4
P53.mp3,3,0.9574300831443687,0.6666666666666666
P54.mp3,3,0.7651700680272109,0.6666666666666666
P55.mp3,33,0.25234384662956094,0.21212121212121213
P56.mp3,6,0.2986318972033258,0.16666666666666666
P57.mp3,26,0.21739577882435027,0.11538461538461539
P58.mp3,33,0.14776334776334776,0.06060606060606061
P59.mp3,45,0.19760745779793396,0.15555555555555556
P6.mp3,1,1.6171428571428572,1.0
P60.mp3,20,0.288233560090703,0.25
P61.mp3,11,0.5116512059369204,0.36363636363636365
P62.mp3,47,0.2630771457519178,0.14893617021276595
P63.mp3,9,0.37607457797933985,0.3333333333333333
P64.mp3,40,0.24994104308390025,0.125
P65.mp3,3,0.19349962207105065,0.0
P66.mp3,5,1.5349841269841267,0.8
P67.mp3,4,0.34249433106575966,0.25
P68.mp3,20,0.20568707482993198,0.1
P69.mp3,8,0.23800453514739228,0.125
P7.mp3,1,0.5,1.0
P70.mp3,7,0.14263686426951733,0.14285714285714285
P71.mp3,7,0.11156462585034013,0.0
P72.mp3,28,0.2740783932620668,0.07142857142857142
P73.mp3,5,0.20665759637188205,0.0
P74.mp3,11,0.2723067408781694,0.36363636363636365
P75.mp3,26,0.4487667887667888,0.34615384615384615
P76.mp3,19,0.3314309583482516,0.15789473684210525
P77.mp3,6,0.1760846560846561,0.0
P78.mp3,10,0.30302040816326536,0.1
P79.mp3,16,0.21841269841269842,0.125
P8.mp3,12,0.3333975812547241,0.3333333333333333
P80.mp3,4,0.2546825396825397,0.0
P81.mp3,7,0.2028960155490768,0.14285714285714285
P82.mp3,6,0.7996900982615268,0.6666666666666666
P9.mp3,1,5.0,1.0
